ID,Course,Format,Start date,Age C,Created Date,Close Date,Lost Deal Reason C,Contact C,Is Won,Scholarship Name C,Drop,Campaign ID,Days From Last Touch Point C,Days Until Closure C,Discount Name C,Drop Reason C,Lost Reason Notes C,Hours Before First Touch Point C,First Touch Point Type C,First Touch Point Date C,First Offer Date C,Cov ID Discount C,Fiscal Year,Financing Options C,Need Financing C,Is Closed,Is Private,Interest C,Ga Connector Browser C,Ga Connector First Click Campaign C,Ga Connector First Click Channel C,Ga Connector First Click Source C,Ga Connector First Click Landing Page C,Ga Connector First Click Content C,Days For First Touch Point C,Ga Connector First Click Re Ferrer C,Ga Connector Google Analytics Link C,Ga Connector Last Click Campaign C,Ga Connector Last Click Channel C,Ga Connector Last Click Content C,Ga Connector Last Click Landing Page C,Ga Connector Last Click Medium C,Ga Connector Last Click Source C,Financing Option Discount C,Leads Ource,Lead Source C C,Technical Interview Date C,Qualified C,Media Event C,Payment Plan C,Partnership Discount Amount C
0011t00001BHVu3AAH,DA,FT,30/03/2020,,09/03/2020,44124,Missed in application,0031t00001A3eQHAAZ,FALSE,Vinted,FALSE,,,225,,,,,,,,TRUE,2020,,,TRUE,FALSE,DAFT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00001BHVWuAAP,UX,FT,28/09/2020,,09/03/2020,43921,Missed in application,0031t00001A3dy3AAB,FALSE,,FALSE,,210,22,,,never reply/opened emails,52.36,Call,43901,,FALSE,2020,,,TRUE,FALSE,UXFT,,LIS_lead_campus_EN,Pay-Per-Click,google,https://www.ironhack.com/en/lisbon?https://www.ironhack.com/en/locations/lisbon?utm_source,(not set),2.18,https://www.google.com/,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",(referral),Referral,https://vinted.atlassian.net/,https://www.ironhack.com/es/impacto-social/beca-vinted,referral,vinted.atlassian.net,,,Others,,FALSE,,,
0011t00001BHVYbAAP,UX,FT,30/03/2020,,09/03/2020,44124,Missed in application,0031t00001A3e0EAAR,FALSE,Vinted,FALSE,,,225,,,,,,,,TRUE,2020,,,TRUE,FALSE,UXFT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00001BHw7LAAT,WD,FT,29/06/2020,,10/03/2020,44124,Missed in application,0031t00001A43ZwAAJ,FALSE,Vinted,FALSE,,,224,,,,,,,,FALSE,2020,,,TRUE,FALSE,WDFT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00001BHWBZAA5,DA,PT,16/06/2020,,09/03/2020,43921,COVID-19,0031t00001A3engAAB,FALSE,,FALSE,,186,22,Women,,"ERTE, she cant afford the course now.",48.57,Call,43901,,FALSE,2020,,,TRUE,FALSE,DAPT,,(not set),Social,facebook,https://www.ironhack.com/es,(not set),2.02,https://m.facebook.com/l.php?u,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",(not set),Social,(not set),https://www.ironhack.com/es,social,facebook,,,Others,,TRUE,,,
0011t00001BHWCMAA5,UX,PT,16/06/2020,,09/03/2020,44124,Missed in application,0031t00001A3eonAAB,FALSE,Vinted,FALSE,,,225,,,,,,,,FALSE,2020,,,TRUE,FALSE,UXPT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00001BHWh5AAH,WD,FT,19/10/2020,,09/03/2020,43921,Missed in application,0031t00001A3fQTAAZ,FALSE,,FALSE,,201,22,,,,25.12,Call,43900,,FALSE,2020,,,TRUE,FALSE,WDFT,,(not set),Organic Search,google,https://www.ironhack.com/en,(not set),1.05,https://www.google.com/,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",(not set),Organic Search,(not set),https://www.ironhack.com/en,organic,google,,,Others,,TRUE,,,
0011t00001BHWh6AAH,DA,PT,16/06/2020,,09/03/2020,44124,Missed in application,0031t00001A3fQUAAZ,FALSE,Vinted,FALSE,,,225,,,,,,,,FALSE,2020,,,TRUE,FALSE,DAPT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00001BHwHHAA1,WD,FT,30/03/2020,,10/03/2020,43921,Duplicated,0031t00001A43kiAAB,FALSE,,FALSE,,264,21,Women,,Vinted dupplicated,,,,,TRUE,2020,,,TRUE,FALSE,WDFT,,(not set),Organic Search,google,https://www.ironhack.com/es/impacto-social/becas-deliveroo,(not set),,https://www.google.com/,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",(not set),Organic Search,(not set),https://www.ironhack.com/es/barcelona,organic,google,,,Others,,TRUE,,,
0011t00001BHwHHAA1,WD,FT,30/03/2020,,11/03/2020,43906,,0031t00001A43kiAAB,TRUE,Vinted,FALSE,,319,5,,,,143.94,Call,43907,,TRUE,2020,,,TRUE,FALSE,,,,,,,,6,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,Upfront Payment,
